post_id,display_name,comment_text
431455,Community,"Please provide additional details in your answer. As it's currently written, it's hard to understand your solution."
431499,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
431626,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
431677,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
431781,Community,"Please provide additional details in your answer. As it's currently written, it's hard to understand your solution."
431830,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
431937,Community,"Your answer could be improved with additional supporting information. Please [edit] to add further details, such as citations or documentation, so that others can confirm that your answer is correct. You can find more information on how to write good answers [in the help center](/help/how-to-ask)."
431964,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-ask)."
431979,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
432000,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-ask)."
432355,Community,"Your answer could be improved with additional supporting information. Please [edit] to add further details, such as citations or documentation, so that others can confirm that your answer is correct. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
432614,Community,"Your answer could be improved with additional supporting information. Please [edit] to add further details, such as citations or documentation, so that others can confirm that your answer is correct. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
433271,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
435446,Community,"Your answer could be improved with additional supporting information. Please [edit] to add further details, such as citations or documentation, so that others can confirm that your answer is correct. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
435635,Community,"Your answer could be improved with additional supporting information. Please [edit] to add further details, such as citations or documentation, so that others can confirm that your answer is correct. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
436219,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
436214,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
436242,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
436381,Community,"Please edit the question to limit it to a specific problem with enough detail to identify an adequate answer."
436704,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
439161,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
439327,Community,"Your answer could be improved with additional supporting information. Please [edit] to add further details, such as citations or documentation, so that others can confirm that your answer is correct. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
439386,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
439528,Community,"Your answer could be improved with additional supporting information. Please [edit] to add further details, such as citations or documentation, so that others can confirm that your answer is correct. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
439482,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
439457,Community,"Please edit the question to limit it to a specific problem with enough detail to identify an adequate answer."
440563,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
440977,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
440998,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
441278,Community,"Please edit the question to limit it to a specific problem with enough detail to identify an adequate answer."
441568,Community,"Please edit the question to limit it to a specific problem with enough detail to identify an adequate answer."
441579,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
441613,Community,"Please edit the question to limit it to a specific problem with enough detail to identify an adequate answer."
441737,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
441742,Community,"Please edit the question to limit it to a specific problem with enough detail to identify an adequate answer."
441775,Community,"Please edit the question to limit it to a specific problem with enough detail to identify an adequate answer."
441795,Community,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking."
441757,Community,"As it’s currently written, your answer is unclear. Please [edit] to add additional details that will help others understand how this addresses the question asked. You can find more information on how to write good answers [in the help center](/help/how-to-answer)."
441900,Community,"Please edit the question to limit it to a specific problem with enough detail to identify an adequate answer."
134,"Joel Spolsky","I like the first part of the question, but I don't think we should have any locale or time specific components. Rates change depending on specific location (even in the US, different locations will have different rates) and time (rates change over time and become no longer valid)."
142,"Joel Spolsky","People who find this site might not be from Stack Overflow. In addition, people who are of interest might not be on Stack Overflow to have a profile there."
163,"Joel Spolsky","I think you should narrow your question to specific programming books. If you include software development, you open the door books including Software Project Survival Guide, A Discipline for Software Engineering, Waltzing with Bears, The Cathedral & The Bazaar, Software Architectures in Practice, Distributed Systems Concepts and Design, Software Requirements, Rapid Development...these are great and well-cited books that have everything to do with software development/engineering, but little to do with the actual programming of software."
134,"Joel Spolsky","I think this is much better, and much more useful to the general community of programmers."
142,"Joel Spolsky","I'm just clarifying for other people who might read this question. Nothing against this answer - I gave you +1."
203,"Joel Spolsky","I don't agree with this. A performance requirement is a valid non-functional requirement for a system."
203,"Joel Spolsky","Ah. Yeah, your absolutely right in that case. You don't worry about the possibilities because there are so many, but focus on what you know."
324,"Joel Spolsky","Who said anyone was browsing Twitter when coding?"
440,"Joel Spolsky","That's true, but I would suspect that these people would post some things of interest - either URLs, a blog post (theirs or someone else's) of interest, etc."
171,"Joel Spolsky","Wow. I just looked through the index - there isn't any mention of immutability."
716,"Joel Spolsky","I haven't read Black Art of Software Estimation yet. Its the only Steve McConnell book I haven't read (well, I've never read After the Gold Rush, but I did read the second incarnation of it - Professional Software Development)."
843,"Joel Spolsky","I don't understand what you mean when you say the client wants a change after the sprint. That has no effect on the work you just completed - it should be part of the next sprint. If this isn't the case, you're...well, doing it wrong."
843,"Joel Spolsky","You make it the highest (or a very high) priority for the next sprint to ensure that it's properly designed, implemented, tested, and then deployed. Since you used the term sprint, I'm assuming that you are using Scrum - a sprint should only be 2 to 4 weeks long. Adding a feature into a sprint at the last minute is only going to cause problems."
2768,"Joel Spolsky","+1. The advantage of Project Euler is that you can implement the solutions in any language, and then compare/contrast them."
